DEVICE_PROBLEM_CODE|DEVICE_PROBLEM_DESCRIPTION|ERR_TYPE
2677|Traditional use|Unknown
2678|Intended use of immediate/early load|Unknown
2679|Intended use for transitional use|Unknown
2680|Intended use for traditional use|Unknown
2681|Unable to confirm conditions of use|Unknown
2682|Patient-device incompatibility|Unknown
2851|Date-related problem, year 2000 (Y2K)|Software
2877|Ambient noise issue|Hardware
2878|Ambient temperature issue|Hardware
2879|Application network issue|Software
2880|Application program issue|Software
2881|Application program version or upgrade problem|Software
2882|Application security issue|Software
2883|Aspiration issue|Hardware
2884|Battery impedance issue|Hardware
2885|Battery issue|Hardware
2886|Biocompatibility issue|Hardware
2887|Biological environmental factor|Hardware
2888|Blocked connection|Hardware
2889|Buckled material|Hardware
2890|Calibration issue|Software
2891|Capturing issue|Software
2892|Charging issue|Hardware
2893|Chemical issue|Hardware
2894|Chemical spillage|Hardware
2895|Disinfection or Sterilization Issue at User Location|Hardware
2896|Communication or transmission issue|Both
2897|Component or accessory incompatibility|Hardware
2898|Computer operating system issue|Software
2899|Computer system security issue|Software
2900|Connection issue|Both
2901|Contamination of device ingredient or reagent|Hardware
2902|Data back-up problem|Software
2903|Loss of Data|Software
2904|Delamination|Hardware
2905|Delivery system failure|Hardware
2906|Deployment issue|Hardware
2907|Detachment of device or device component|Hardware
2908|Device Contamination with biological material|Hardware
2909|Device disinfection or sterilization issue|Hardware
2910|Device ingredient or reagent issue|Hardware
2911|Device markings issue|Hardware
2912|Device misassembled during manufacturing or shipping|Hardware
2913|Device operates differently than expected|Unknown
2915|Device or device component damaged by another device|Hardware
2916|Device packaging compromised|Hardware
2917|Device sensing issue|Both
2918|Device unsafe to use in environment|Unknown
2919|Device-device incompatibility|Unknown
2920|Difficult to advance|Unknown
2921|Difficult to open or close|Hardware
2922|Difficult to open or remove packaging material|Hardware
2923|Dislodged or dislocated|Hardware
2924|Electrical overstress|Hardware
2925|Electrical power problem|Hardware
2926|Electrical shorting|Hardware
2927|Electromagnetic compatibility issue|Hardware
2928|Electronic property issue|Hardware
2929|Environmental control or utility issue|Hardware
2930|Environmental Particulates|Hardware
2931|Escape|Unknown
2932|Excessive cooling|Hardware
2933|Expulsion|Hardware
2934|Extrusion|Hardware
2936|Fail-safe mechanism issue|Both
2937|Failure of device to self-test|Both
2938|Failure to auto stop|Both
2939|Failure to shut off|Both
2940|Failure to unwrap|Hardware
2941|Filtration issue|Hardware
2942|Flare or flash|Hardware
2943|Flashpoint threshold met|Unknown
2944|Foreign material present in device|Hardware
2945|Free or unrestricted flow|Hardware
2946|Gas leak|Hardware
2947|High battery impedance|Hardware
2949|Human-Device Interface Issue|Software
2950|Impedance issue|Hardware
2951|Improper alarm|Both
2952|Improper chemical reaction|Hardware
2953|Improper device output|Both
2954|Improper flow or infusion|Hardware
2955|Inaccurate dispensing|Hardware
2956|Inadequate instructions for non-healthcare professional|Unknown
2957|Inadequate lighting|Hardware
2958|Inadequate user interface|Both
2959|Inappropriate or unexpected reset|Both
2960|Incompatibility problem|Hardware
2962|Incorrect device or component shipped|Unknown
2963|Incorrect error code|Software
2964|Infusion or flow issue|Hardware
2965|Installation-related problem|Both
2967|Issue with displayed error message|Software
2969|Item contaminated during manufacturing or shipping|Hardware
2971|Lack of maintenance documentation or guidelines|Unknown
2972|Light interference|Hardware
2973|Low battery impedance|Hardware
2974|Maintenance does not comply to manufacturers recommendations|Unknown
2975|Manufacturing or shipping issue associated with device|Hardware
2976|Material deformation|Hardware
2977|Material Distortion|Hardware
2978|Material integrity issue|Hardware
2979|Material Protrusion|Hardware
2980|Material torqued|Hardware
2981|Material twisted|Hardware
2982|Measurement system incompatibility|Unknown
2983|Mechanical jam|Hardware
2984|Mechanics altered|Hardware
2985|Medical Gas Supply problem|Hardware
2986|Moisture or humidity problem|Hardware
2987|Mushroomed|Unknown
2988|Naturally worn|Hardware
2990|No fail-safe mechanism|Unknown
2991|No flow|Hardware
2993|No Known Device Problem|Unknown
2994|No Pressure|Hardware
2996|Operating system becomes non-functional|Software
2997|Operating system version or upgrade problem|Software
2999|Optical discoloration|Hardware
3000|Optical distortion|Hardware
3001|Optical issue|Hardware
3002|Optical obstruction|Hardware
3003|Osseointegration issue|Hardware
3004|Output below specifications|Hardware
3005|Output issue|Unknown
3006|Overcorrection|Both
3007|Packaging issue|Hardware
3009|Positioning Issue|Both
3010|Power source issue|Hardware
3011|Premature indicator activation|Both
3012|Pressure issue|Hardware
3013|Problem with software installation|Software
3014|Programming issue|Software
3015|Protective measure issue|Both
3016|Pumping issue|Hardware
3017|Radiation Overexposure|Hardware
3018|Radiation Underexposure|Hardware
3019|Reset issue|Both
3020|Scratched material|Hardware
3021|Sediment, precipitate or deposit in device or device ingredient|Hardware
3022|Temperature issue|Hardware
3023|Therapeutic or diagnostic output failure|Both
3024|Torn material|Hardware
3025|Unauthorized access to computer system|Software
3026|Unintended movement|Both
3027|Ventilation issue in device environment|Hardware
3133|Misassembled by Users|Hardware
3134|Device Difficult to maintain|Unknown
3189|Not Applicable|Unknown
3190|No Information|Unknown
3191|No code available|Unknown
3196|Data Issue|Software
3197|Patient Data Issue|Unknown
3198|Medication Error|Unknown
3265|Device handling issue|Unknown
3266|High capture threshold|Software
3267|Missing test results|Software
3268|No pacing|Both
3269|Unstable capture threshold|Software
3270|Failure to expand|Hardware
3273|Noise, Audible|Both
3283|Wireless communication issue|Hardware
